"","name","date","scaled_close"
"1","Example","2013-01-01",49.9983022519876
"2","Example","2013-01-08",51.2482255306011
"3","Example","2013-01-15",52.4973676478522
"4","Example","2013-01-22",53.744947930579
"5","Example","2013-01-29",54.9901866817152
"6","Example","2013-02-05",56.2323056675757
"7","Example","2013-02-12",57.4705286042271
"8","Example","2013-02-19",58.7040816426397
"9","Example","2013-02-26",59.9321938523186
"10","Example","2013-03-05",61.1540977031094
"11","Example","2013-03-12",62.36902954488
"12","Example","2013-03-19",63.5762300847771
"13","Example","2013-03-26",64.7749448617594
"14","Example","2013-04-02",65.9644247181111
"15","Example","2013-04-09",67.1439262676411
"16","Example","2013-04-16",68.3127123602755
"17","Example","2013-04-23",69.470052542752
"18","Example","2013-04-30",70.6152235151297
"19","Example","2013-05-07",71.7475095828276
"20","Example","2013-05-14",72.866203103911
"21","Example","2013-05-21",73.9706049313443
"22","Example","2013-05-28",75.0600248499351
"23","Example","2013-06-04",76.1337820076964
"24","Example","2013-06-11",77.1912053413571
"25","Example","2013-06-18",78.2316339957541
"26","Example","2013-06-25",79.2544177368458
"27","Example","2013-07-02",80.2589173580872
"28","Example","2013-07-09",81.2445050799128
"29","Example","2013-07-16",82.2105649420788
"30","Example","2013-07-23",83.1564931886179
"31","Example","2013-07-30",84.0816986451673
"32","Example","2013-08-06",84.9856030884334
"33","Example","2013-08-13",85.8676416075625
"34","Example","2013-08-20",86.7272629571918
"35","Example","2013-08-27",87.5639299019596
"36","Example","2013-09-03",88.3771195522602
"37","Example","2013-09-10",89.1663236910325
"38","Example","2013-09-17",89.9310490913796
"39","Example","2013-09-24",90.670817824819
"40","Example","2013-10-01",91.385167559973
"41","Example","2013-10-08",92.0736518515101
"42","Example","2013-10-15",92.7358404191593
"43","Example","2013-10-22",93.3713194166208
"44","Example","2013-10-29",93.9796916902072
"45","Example","2013-11-05",94.5605770270507
"46","Example","2013-11-12",95.1136123927244
"47","Example","2013-11-19",95.6384521581269
"48","Example","2013-11-26",96.1347683154891
"49","Example","2013-12-03",96.6022506833684
"50","Example","2013-12-10",97.0406071005021
"51","Example","2013-12-17",97.4495636083986
"52","Example","2013-12-24",97.8288646225526
"53","Example","2013-12-31",98.178273092177
"54","Example","2014-01-07",98.497570648352
"55","Example","2014-01-14",98.7865577404987
"56","Example","2014-01-21",99.0450537610913
"57","Example","2014-01-28",99.2728971585313
"58","Example","2014-02-04",99.4699455381121
"59","Example","2014-02-11",99.6360757510106
"60","Example","2014-02-18",99.7711839712514
"61","Example","2014-02-25",99.875185760595
"62","Example","2014-03-04",99.9480161213083
"63","Example","2014-03-11",99.9896295367867
"64","Example","2014-03-18",100
"65","Example","2014-03-25",99.9791210297463
"66","Example","2014-04-01",99.9270056747025
"67","Example","2014-04-08",99.8436865052688
"68","Example","2014-04-15",99.7292155932142
"69","Example","2014-04-22",99.5836644791324
"70","Example","2014-04-29",99.4071241277319
"71","Example","2014-05-06",99.1997048709856
"72","Example","2014-05-13",98.9615363391772
"73","Example","2014-05-20",98.6927673798864
"74","Example","2014-05-27",98.393565964964
"75","Example","2014-06-03",98.0641190855547
"76","Example","2014-06-10",97.7046326352344
"77","Example","2014-06-17",97.3153312813326
